code,francais,latin,strate
CRA,Aubépines,Crataegus sp.,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
CYA,Cypripède acaule,Cypripedium acaule,LATIFOLIÉS (STRATE 21)
CYB,Cystoptéride bulbifère,Cystopteris bulbifera,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
CYC,Cypripède soulier,Cypripedium calceolus,LATIFOLIÉS (STRATE 21)
CYR,Cypripède royal,Cypripedium reginae,LATIFOLIÉS (STRATE 21)
DAR,Dalibarde rampante,Dalibarda repens,LATIFOLIÉS (STRATE 21)
DED,Dentaire à deux feuilles,Dentaria diphylla,LATIFOLIÉS (STRATE 21)
DEP,Dennstaedtia à lobules ponctués,Dennstaedtia punctilobula,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
DIA,Dicentre du Canada,Dicentra canadensis,LATIFOLIÉS (STRATE 21)
DIC,Dicentres,Dicentra sp.,LATIFOLIÉS (STRATE 21)
DIE,Dièréville chèvrefeuille,Diervilla lonicera,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
DIR,Dirca des marais,Dirca palustris,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
DIS,Dicranes,Dicranum sp.,MOUSSES (STRATE 11)
DIU,Dicentre à capuchon,Dicentra cucullaria,LATIFOLIÉS (STRATE 21)
DRC,Dryoptéride accrêtée,Dryopteris cristata,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
DRD,Dryoptéride disjointe,Dryopteris disjuncta,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
DRG,Dryoptéride de Goldie,Dryopteris goldiana,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
DRM,Dryoptéride marginale,Dryopteris marginalis,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
DRN,Dryoptéride de New-York,Dryopteris noveboracensis,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
DRO,Rossolis,Drosera sp.,LATIFOLIÉS (STRATE 21)
